Lead1,Lead2,Lead3
-0.442962,-0.761545,-0.318632
-0.447206,-0.762533,-0.31532
-0.451,-0.763269,-0.312181
-0.454146,-0.763615,-0.309291
-0.456652,-0.763508,-0.306623
-0.458352,-0.762887,-0.304293
-0.459253,-0.761777,-0.302464
-0.459361,-0.760007,-0.300728
-0.458677,-0.757589,-0.299037
-0.457362,-0.754795,-0.297581
-0.455496,-0.751694,-0.296325
-0.453153,-0.748323,-0.295302
-0.450245,-0.744658,-0.29456
-0.446855,-0.740692,-0.294082
-0.442956,-0.736477,-0.293794
-0.438482,-0.731952,-0.293643
-0.433533,-0.727048,-0.293854
-0.427963,-0.721612,-0.294216
-0.421714,-0.715589,-0.294397
-0.414854,-0.709049,-0.294643
-0.407368,-0.701901,-0.294966
-0.399315,-0.694297,-0.295373
-0.390777,-0.686519,-0.29603
-0.381721,-0.678579,-0.29704
-0.37214,-0.670394,-0.298355
-0.362204,-0.662177,-0.299969
-0.352039,-0.65406,-0.302126
-0.341577,-0.645882,-0.304688
-0.330873,-0.6378,-0.307354
-0.319882,-0.630105,-0.310564
-0.308566,-0.622632,-0.314318
-0.297224,-0.615211,-0.318206
-0.286099,-0.608106,-0.322258
-0.27517,-0.601286,-0.326441
-0.264258,-0.59448,-0.330597
-0.25328,-0.587639,-0.334691
-0.242193,-0.580693,-0.338815
-0.231056,-0.573822,-0.343154
-0.219985,-0.567058,-0.347476
-0.208955,-0.560265,-0.351662
-0.197897,-0.553403,-0.355788
-0.186764,-0.546282,-0.359723
-0.17536,-0.538687,-0.363421
-0.163393,-0.53017,-0.366866
-0.151018,-0.520748,-0.369946
-0.138747,-0.511069,-0.372607
-0.126822,-0.501296,-0.37485
-0.115169,-0.491244,-0.376688
-0.103833,-0.481186,-0.378071
-0.0928403,-0.471323,-0.379096
-0.0822302,-0.461726,-0.379966
-0.0719986,-0.452426,-0.380823
-0.0619876,-0.443307,-0.381764
-0.0521621,-0.434471,-0.382752
-0.0426492,-0.426019,-0.383772
-0.033615,-0.418068,-0.384833
-0.0249609,-0.410639,-0.385976
-0.0164739,-0.403596,-0.387272
-0.00835397,-0.396886,-0.388628
-0.000909418,-0.390491,-0.389662
0.00611885,-0.384233,-0.390367
0.0130417,-0.377706,-0.390691
0.0199844,-0.370647,-0.39051
0.0269445,-0.36313,-0.389956
0.0337192,-0.355372,-0.388976
0.0404055,-0.347238,-0.387524
0.0475488,-0.338103,-0.385555
0.0553746,-0.32774,-0.383076
0.0633385,-0.316806,-0.380128
0.0709955,-0.306075,-0.376978
0.0782214,-0.295613,-0.3738
0.0851072,-0.285249,-0.370356
0.0916654,-0.275141,-0.366707
0.0975672,-0.26556,-0.362944
0.102825,-0.256391,-0.35898
0.107705,-0.247498,-0.354967
0.112357,-0.238844,-0.350999
0.116778,-0.230312,-0.346857
0.120814,-0.222068,-0.342484
0.124445,-0.214018,-0.337989
0.127677,-0.205974,-0.333241
0.130617,-0.197784,-0.328072
0.13342,-0.189099,-0.32221
0.136116,-0.179763,-0.315493
0.138857,-0.169646,-0.308094
0.141883,-0.158733,-0.300229
0.145055,-0.147381,-0.292065
0.148166,-0.135874,-0.283702
0.151209,-0.124334,-0.275107
0.154178,-0.112721,-0.266417
0.157389,-0.100813,-0.257757
0.16105,-0.088634,-0.249244
0.164824,-0.0765175,-0.240942
0.168157,-0.0648054,-0.232588
0.170704,-0.0536747,-0.22403
0.172671,-0.042923,-0.215179
0.174229,-0.0324534,-0.206068
0.175295,-0.0222466,-0.196863
0.17609,-0.0120748,-0.18736
0.176809,-0.00182503,-0.177664
0.177445,0.00852974,-0.168004
0.17804,0.018957,-0.158207
0.178602,0.0294693,-0.148296
0.179188,0.0401795,-0.138236
0.179828,0.0509841,-0.128075
0.180539,0.0618867,-0.117853
0.181461,0.0730495,-0.107564
0.182563,0.0845019,-0.0971553
0.183737,0.0963578,-0.0863577
0.184999,0.108479,-0.0754021
0.186321,0.120568,-0.0646595
0.187713,0.132548,-0.0540262
0.189235,0.144463,-0.043649
0.190676,0.15613,-0.0336319
0.192028,0.167651,-0.0236253
0.19352,0.179462,-0.0133291
0.19503,0.191445,-0.00290275
0.196467,0.203245,0.00732729
0.197881,0.214838,0.0175266
0.199205,0.226316,0.0278484
0.200296,0.237579,0.0380264
0.201046,0.248454,0.0480289
0.201421,0.258909,0.0578823
0.20153,0.268935,0.0675976
0.201455,0.278509,0.0772061
0.201255,0.287713,0.0866283
0.20093,0.296573,0.095851
0.200489,0.305086,0.104832
0.199924,0.313275,0.113651
0.199125,0.321187,0.122531
0.198193,0.328795,0.131262
0.197236,0.336084,0.139537
0.196231,0.343118,0.147462
0.195076,0.349837,0.155311
0.193619,0.356037,0.162984
0.19176,0.361495,0.170281
0.189505,0.366338,0.177363
0.187028,0.370811,0.184312
0.184405,0.374811,0.190969
0.181547,0.378193,0.197259
0.178425,0.380927,0.20316
0.174984,0.383113,0.208774
0.171147,0.384817,0.21426
0.166922,0.385899,0.219475
0.162418,0.386397,0.224396
0.157649,0.386286,0.229024
0.15257,0.385603,0.23344
0.147386,0.384657,0.237622
0.142329,0.383673,0.241484
0.137491,0.382563,0.245188
0.133011,0.381412,0.248589
0.128854,0.380407,0.251659
0.125005,0.379618,0.25473
0.121443,0.379294,0.257978
0.118122,0.379349,0.261361
0.115024,0.37961,0.264772
0.111993,0.379897,0.268091
0.108901,0.379732,0.271027
0.105615,0.379042,0.273595
0.102505,0.378241,0.275805
0.100178,0.377474,0.277285
0.0983359,0.37643,0.278022
0.0965117,0.374721,0.278067
0.0946124,0.372174,0.277335
0.092491,0.368884,0.276108
0.0898824,0.364827,0.274665
0.0868121,0.360004,0.272915
0.083418,0.354551,0.270856
0.0798302,0.348607,0.268427
0.0764521,0.342612,0.265729
0.0733619,0.336778,0.263058
0.0703788,0.331116,0.260462
0.0675468,0.32568,0.257873
0.0651606,0.320498,0.255108
0.0634706,0.315729,0.252168
0.0624036,0.311569,0.2492
0.0616029,0.307863,0.246268
0.0609333,0.304329,0.243394
0.0604945,0.301178,0.24072
0.0602733,0.298498,0.238282
0.0601169,0.295867,0.235766
0.0597072,0.292889,0.233165
0.0587658,0.289494,0.230783
0.0571717,0.285732,0.228682
0.0549591,0.281544,0.226711
0.0522809,0.27672,0.224546
0.0494889,0.271385,0.221913
0.0469471,0.265797,0.218759
0.0446437,0.260016,0.215242
0.0426405,0.254311,0.211594
0.0409888,0.248814,0.207845
0.0395024,0.24344,0.203944
0.0381196,0.238065,0.199902
0.0368627,0.232702,0.195751
0.0357121,0.22748,0.191624
0.034596,0.222417,0.187649
0.0334802,0.217467,0.183818
0.0323526,0.212578,0.180115
0.0313488,0.207904,0.176478
0.0306231,0.203639,0.172867
0.030447,0.20021,0.169595
0.0307479,0.197638,0.166763
0.0310491,0.195375,0.164226
0.0312166,0.193269,0.161956
0.0312181,0.191234,0.159922
0.0310703,0.189189,0.158104
0.0308088,0.187178,0.156381
0.0306881,0.185348,0.15463
0.0309271,0.184007,0.153054
0.0314641,0.183228,0.151725
0.0320333,0.182496,0.150346
0.0322912,0.181404,0.148959
0.0320358,0.179887,0.147706
0.0309234,0.177585,0.146488
0.0289331,0.174452,0.145288
0.0263667,0.17091,0.144228
0.0235223,0.167174,0.143196
0.0206202,0.163261,0.142086
0.0173463,0.158918,0.140921
0.0135995,0.153938,0.139582
0.00964639,0.148539,0.138102
0.00567748,0.143053,0.136568
0.00189874,0.137695,0.134998
-0.00156317,0.132694,0.133502
-0.00458285,0.128092,0.131979
-0.00727011,0.123755,0.130378
-0.00971522,0.119709,0.128782
-0.0118095,0.115897,0.127126
-0.0136384,0.112302,0.125428
-0.015229,0.109198,0.123874
-0.0161126,0.106825,0.122407
-0.0161029,0.105229,0.120899
-0.0155274,0.104373,0.119532
-0.0145809,0.104091,0.11838
-0.01336,0.104154,0.117331
-0.0119025,0.104426,0.116197
-0.0103848,0.104721,0.114935
-0.00876539,0.105074,0.113626
-0.00665103,0.105747,0.112164
-0.00402025,0.106577,0.110363
-0.00110069,0.107329,0.108243
0.0021672,0.108123,0.105856
0.00593944,0.109049,0.103096
0.0101282,0.110134,0.100019
0.0144163,0.111403,0.0969759
0.0185925,0.112809,0.0941216
0.0226454,0.114233,0.0914536
0.0266312,0.1156,0.0889013
0.0304288,0.116868,0.0864905
0.0337847,0.118079,0.0844072
0.0366277,0.119277,0.0827046
0.0391054,0.120513,0.0814586
0.041551,0.122064,0.0806703
0.0441641,0.124033,0.0800731
