Lead1,Lead2,Lead3
-26.0604,-27.8799,-1.41613
-26.0528,-27.8693,-1.41358
-26.0463,-27.8678,-1.41672
-26.0478,-27.8714,-1.41868
-26.0575,-27.8867,-1.42656
-26.0628,-27.9022,-1.43266
-26.0725,-27.9167,-1.43958
-26.0857,-27.9394,-1.44946
-26.0951,-27.9585,-1.46102
-26.1045,-27.9745,-1.4658
-26.1137,-27.988,-1.47194
-26.1164,-27.9992,-1.47668
-26.1249,-28.0096,-1.48146
-26.1316,-28.0207,-1.48542
-26.1363,-28.0306,-1.49006
-26.1464,-28.042,-1.49207
-26.1536,-28.0541,-1.49657
-26.1585,-28.0628,-1.4993
-26.1626,-28.0696,-1.50568
-26.1688,-28.0756,-1.50408
-26.178,-28.0923,-1.50968
-26.1906,-28.1075,-1.51137
-26.1977,-28.1163,-1.51779
-26.2042,-28.1322,-1.52585
-26.2121,-28.1484,-1.53053
-26.2204,-28.1581,-1.53022
-26.2349,-28.1724,-1.53308
-26.2477,-28.1898,-1.53714
-26.2638,-28.2116,-1.54806
-26.2788,-28.2328,-1.55084
-26.2945,-28.2529,-1.55134
-26.3095,-28.2716,-1.56108
-26.3254,-28.2953,-1.56591
-26.3331,-28.3103,-1.57269
-26.3405,-28.3233,-1.58061
-26.3557,-28.3463,-1.58507
-26.3633,-28.3572,-1.58972
-26.3631,-28.364,-1.59682
-26.3647,-28.3765,-1.61202
-26.3633,-28.3869,-1.62186
-26.3626,-28.3957,-1.62577
-26.3658,-28.407,-1.63866
-26.3664,-28.4189,-1.64963
-26.3608,-28.4278,-1.66037
-26.3568,-28.4353,-1.67512
-26.3532,-28.4435,-1.687
-26.3514,-28.4539,-1.69925
-26.3517,-28.4644,-1.70389
-26.3465,-28.4634,-1.71391
-26.3414,-28.4656,-1.72461
-26.3373,-28.4726,-1.72907
-26.3391,-28.4827,-1.74081
-26.3313,-28.4842,-1.74887
-26.3216,-28.4806,-1.75474
-26.3169,-28.4847,-1.76207
-26.3187,-28.4924,-1.76904
-26.3301,-28.5103,-1.77664
-26.336,-28.5219,-1.7832
-26.3422,-28.536,-1.79066
-26.349,-28.5514,-1.79958
-26.3577,-28.5633,-1.80286
-26.3651,-28.5783,-1.81015
-26.3754,-28.5935,-1.81338
-26.3902,-28.6027,-1.81037
-26.396,-28.6131,-1.81192
-26.4034,-28.6264,-1.81761
-26.3998,-28.6264,-1.82435
-26.3994,-28.6301,-1.8249
-26.4066,-28.6383,-1.82672
-26.4182,-28.6504,-1.82745
-26.4292,-28.6651,-1.82827
-26.444,-28.6809,-1.83282
-26.459,-28.7,-1.835
-26.474,-28.7157,-1.83783
-26.4957,-28.7338,-1.83127
-26.5139,-28.7469,-1.82972
-26.5204,-28.751,-1.8259
-26.5242,-28.7515,-1.82298
-26.5347,-28.7583,-1.81921
-26.5506,-28.7759,-1.82198
-26.5672,-28.7948,-1.82389
-26.5854,-28.8129,-1.82353
-26.6082,-28.8359,-1.82353
-26.6217,-28.8495,-1.82499
-26.6373,-28.8657,-1.82353
-26.6546,-28.8853,-1.82972
-26.6736,-28.9085,-1.83223
-26.6927,-28.9317,-1.83559
-26.7066,-28.9503,-1.84115
-26.7198,-28.9694,-1.8472
-26.7359,-28.9898,-1.85385
-26.7554,-29.0156,-1.85594
-26.7655,-29.0326,-1.86241
-26.7715,-29.0449,-1.86951
-26.7789,-29.056,-1.87233
-26.7879,-29.0698,-1.87734
-26.7895,-29.0788,-1.88362
-26.791,-29.0875,-1.89136
-26.7917,-29.0935,-1.89714
-26.7866,-29.0993,-1.90912
-26.7859,-29.1052,-1.92095
-26.7794,-29.1042,-1.92013
-26.7771,-29.109,-1.93056
-26.7745,-29.1158,-1.93607
-26.7736,-29.1221,-1.94576
-26.7722,-29.1293,-1.95273
-26.7673,-29.1342,-1.96447
-26.7675,-29.1405,-1.97135
-26.7606,-29.1463,-1.98118
-26.7574,-29.1499,-1.98664
-26.7525,-29.1526,-2.00426
-26.7433,-29.1501,-2.0034
-26.735,-29.1497,-2.01018
-26.7265,-29.1482,-2.01724
-26.7162,-29.1434,-2.02452
-26.7081,-29.1456,-2.03203
-26.6992,-29.1489,-2.04505
-26.6886,-29.1509,-2.05652
-26.6781,-29.1509,-2.06868
-26.6718,-29.1591,-2.08061
-26.6644,-29.1632,-2.10159
-26.655,-29.1659,-2.11011
-26.6485,-29.1748,-2.1219
-26.6367,-29.1872,-2.14543
-26.6279,-29.191,-2.15845
-26.625,-29.1978,-2.16952
-26.6239,-29.2104,-2.1839
-26.6203,-29.2164,-2.19437
-26.6131,-29.2203,-2.20389
-26.6064,-29.2244,-2.21327
-26.5972,-29.2256,-2.22592
-26.5919,-29.2353,-2.24167
-26.586,-29.2375,-2.24723
-26.5795,-29.2426,-2.25906
-26.571,-29.243,-2.26708
-26.5625,-29.2413,-2.27454
-26.5468,-29.2338,-2.28078
-26.5275,-29.2159,-2.28743
-26.5154,-29.2068,-2.28947
-26.5121,-29.2084,-2.29371
-26.5078,-29.2039,-2.29507
-26.5022,-29.1988,-2.29899
-26.4995,-29.2024,-2.29794
-26.4951,-29.2036,-2.30422
-26.4939,-29.2097,-2.30932
-26.4897,-29.2121,-2.32011
-26.4836,-29.2145,-2.32844
-26.4783,-29.2203,-2.33823
-26.4765,-29.2263,-2.34615
-26.4769,-29.2365,-2.35635
-26.4724,-29.244,-2.36577
-26.4662,-29.2503,-2.37857
-26.4684,-29.2566,-2.38521
-26.4729,-29.2626,-2.38539
-26.4675,-29.2634,-2.39118
-26.4621,-29.2559,-2.38899
-26.4525,-29.2469,-2.3899
-26.4469,-29.2406,-2.39108
-26.4437,-29.2377,-2.38945
-26.435,-29.2261,-2.38822
-26.4135,-29.2012,-2.38407
-26.396,-29.1797,-2.38193
-26.3911,-29.1739,-2.37811
-26.388,-29.1768,-2.38385
-26.3875,-29.1731,-2.3853
-26.3819,-29.1705,-2.38289
-26.3815,-29.1719,-2.38576
-26.3873,-29.1785,-2.3858
-26.3875,-29.1768,-2.38544
-26.3855,-29.1792,-2.38999
-26.3812,-29.1765,-2.3925
-26.3797,-29.1751,-2.38972
-26.3808,-29.178,-2.38972
-26.3806,-29.1736,-2.39004
-26.3821,-29.1702,-2.38521
-26.379,-29.1606,-2.3792
-26.3759,-29.1448,-2.36423
-26.3718,-29.1286,-2.35116
-26.3638,-29.1068,-2.34001
-26.3514,-29.0882,-2.33254
-26.3474,-29.0764,-2.3258
-26.3416,-29.066,-2.3207
-26.3378,-29.0575,-2.31219
-26.3322,-29.0452,-2.31087
-26.3178,-29.0287,-2.306
-26.3046,-29.0161,-2.30841
-26.3006,-29.0098,-2.30554
-26.3055,-29.0084,-2.29935
-26.3138,-29.0084,-2.29089
-26.3133,-29.0009,-2.28101
-26.3169,-28.998,-2.27272
-26.3201,-28.99,-2.26753
-26.3172,-28.9796,-2.25187
-26.3142,-28.9675,-2.24923
-26.3118,-28.9557,-2.24049
-26.3075,-28.944,-2.23179
-26.3048,-28.9312,-2.2231
-26.2988,-28.9153,-2.21267
-26.295,-28.9051,-2.20489
-26.2882,-28.8884,-2.19524
-26.2795,-28.8722,-2.18668
-26.2735,-28.8536,-2.1748
-26.2679,-28.8325,-2.15654
-26.2611,-28.8173,-2.15122
-26.2562,-28.8052,-2.14466
-26.249,-28.7921,-2.13587
-26.2419,-28.7783,-2.13405
-26.2414,-28.7711,-2.12886
-26.2347,-28.7539,-2.11566
-26.2266,-28.7319,-2.10005
-26.2237,-28.7176,-2.09121
-26.2186,-28.7067,-2.08589
-26.2141,-28.6932,-2.0715
-26.2112,-28.6792,-2.06071
-26.2116,-28.6688,-2.05461
-26.2127,-28.6605,-2.04478
