Lead1,Lead2,Lead3
11.1911,6.98438,-4.28342
11.1741,6.96881,-4.25604
11.2413,7.00537,-4.19214
11.3532,7.11298,-4.22318
11.4043,7.03613,-4.4422
11.3366,6.92627,-4.42618
11.2943,6.95544,-4.28644
11.3238,7.02655,-4.22522
11.4001,7.29236,-4.02936
11.6778,7.77777,-3.78632
12.254,8.72046,-3.52841
12.6725,9.64856,-3.15399
12.5655,9.91174,-2.72455
12.2111,10.0076,-2.29678
11.9323,10.2931,-1.8822
11.6085,10.2986,-1.41647
11.2565,10.0999,-1.04922
10.8648,9.82761,-0.890411
10.4771,9.52335,-0.877716
10.2513,9.33722,-0.96344
10.0613,9.04807,-1.01239
9.74117,8.65491,-1.04471
9.25108,8.14236,-1.08646
8.8617,7.60681,-1.17035
8.69075,7.21265,-1.32715
8.31479,6.87073,-1.38824
7.62322,6.54877,-1.05896
7.19694,6.40848,-0.72168
7.08897,6.68292,-0.331421
7.10933,7.22891,0.184784
7.12716,7.69708,0.567078
6.93733,7.94379,1.00375
6.84671,8.32935,1.48697
7.31482,9.35471,2.01614
8.01356,10.6111,2.53915
8.15506,11.1968,3.0184
7.84077,10.9884,3.22504
7.39931,10.7133,3.25433
7.05111,10.6125,3.52707
6.71559,10.3503,3.73639
6.0434,9.81119,3.85388
5.38381,9.38913,4.05869
4.99694,9.10706,4.10895
4.76437,8.86093,4.0639
4.52658,8.73756,4.24081
4.13353,8.44167,4.47879
3.71806,8.24245,4.60291
3.30948,8.23769,4.86176
3.01045,8.38641,5.29288
2.86957,8.89362,6.00229
2.76109,9.55972,6.87805
2.80656,10.36,7.57687
3.0993,11.1745,8.05432
3.24791,11.6248,8.35919
3.18542,11.7836,8.564
3.11617,11.8161,8.80103
3.04068,11.8922,8.89844
3.28783,12.1939,8.86862
3.74913,12.4711,8.71645
3.86388,12.4073,8.50221
3.41301,11.9931,8.55385
2.60875,11.3978,8.76364
2.01369,11.0098,9.06352
1.59561,10.7209,9.32961
1.09117,10.4518,9.42592
0.813934,10.4159,9.73096
0.737091,10.4958,9.92883
0.650406,10.6033,9.89218
0.609222,10.6775,10.0313
0.576462,10.7647,10.1493
0.599838,10.9672,10.3015
0.655411,11.0639,10.405
0.727402,11.1643,10.4668
0.944916,11.4307,10.5366
1.12773,11.7272,10.6583
1.20253,12.1404,11.0567
1.2921,12.4116,11.2185
1.35426,12.3791,11.0005
1.42493,12.2679,10.8885
1.55811,12.2009,10.6262
1.47627,11.9468,10.2575
1.38396,11.7976,10.2467
1.52824,12.0945,10.5433
1.54581,12.2711,10.6766
1.47162,12.0833,10.4756
1.44806,11.8708,10.4441
1.35582,11.7535,10.5695
1.11691,11.5335,10.4222
0.767868,11.1362,10.2426
0.384003,10.7055,10.0898
0.111526,10.2662,9.94852
-0.0762939,9.80426,9.83904
-0.204971,9.4252,9.64835
-0.33255,9.07275,9.4441
-0.452103,8.71634,9.19673
-0.57782,8.38583,9.03009
-0.818481,8.10239,9.09389
-0.954865,7.78989,8.94047
-0.979431,7.46472,8.47313
-1.02881,7.20212,8.11575
-1.18352,6.88046,8.03738
-1.49187,6.34854,7.85716
-1.90335,5.58975,7.47151
-2.30858,4.95859,7.25192
-2.53644,4.58109,7.11638
-2.68626,4.09512,6.8167
-2.92676,3.46368,6.4409
-3.1974,2.79953,6.04262
-3.52351,2.23822,5.74879
-3.92879,1.74472,5.61748
-4.32599,1.10883,5.34016
-4.6124,0.509613,5.03854
-4.88333,-0.113586,4.73941
-5.20099,-0.699524,4.52225
-5.30884,-0.968964,4.28229
-5.17836,-1.00693,3.95439
-4.95398,-1.13754,3.79311
-4.58678,-1.17773,3.48276
-4.25676,-1.02945,3.14383
-3.94153,-0.807587,3.14413
-3.64748,-0.332001,3.32574
-3.40096,0.056488,3.46487
-3.17212,0.266479,3.49301
-3.10386,0.293854,3.39868
-3.16618,-0.168488,3.00574
-3.36489,-0.706604,2.63
-3.18517,-0.820007,2.2626
-2.38293,-0.78537,1.51544
-1.88591,-1.06964,0.755524
-1.868,-1.74948,0.0456238
-1.94488,-2.60852,-0.749878
-2.17233,-3.36896,-1.25647
-2.67117,-4.15405,-1.47699
-3.14405,-4.93927,-1.79251
-3.47558,-5.58334,-2.10806
-3.67387,-6.08646,-2.48718
-3.45916,-6.13895,-2.76294
-3.16437,-5.97443,-2.73544
-3.05465,-5.79813,-2.65778
-2.90005,-5.56653,-2.65121
-2.44341,-5.30548,-2.83112
-1.73062,-4.88394,-3.01096
-1.0926,-4.26031,-3.03902
-0.819889,-3.79474,-3.00212
-0.685722,-3.61856,-2.94312
-0.449314,-3.22711,-2.7383
-0.226429,-2.74432,-2.49666
-0.16024,-2.69382,-2.57666
-0.419476,-3.04947,-2.66286
-0.963997,-3.47653,-2.4391
-1.63237,-3.85193,-2.15222
-2.26574,-4.28915,-2.01767
-2.74241,-4.93924,-2.217
-2.85903,-5.4635,-2.69666
-2.60278,-5.72134,-3.22946
-2.35873,-5.92032,-3.60165
-2.05125,-5.84201,-3.73473
-1.69133,-5.62875,-3.83896
-1.5221,-5.50298,-3.99515
-1.41595,-5.50414,-4.13882
-1.28714,-5.49142,-4.25111
-1.17818,-5.34764,-4.22534
-1.14288,-5.18407,-4.07109
-1.14256,-5.06873,-3.92281
-1.15468,-5.00626,-3.79138
-1.02787,-4.78658,-3.72467
-0.743198,-4.36763,-3.69798
-0.180321,-3.5106,-3.35025
0.308138,-2.63422,-2.89984
0.308456,-2.31696,-2.59813
0.171532,-2.15627,-2.32394
0.00157356,-2.08394,-2.08292
-0.151423,-2.09491,-1.86227
-0.267736,-2.05847,-1.76387
-0.123575,-1.87398,-1.79308
0.244732,-1.37328,-1.61411
0.549826,-0.79744,-1.36052
0.582855,-0.750137,-1.41254
0.264156,-1.11853,-1.41948
-0.261608,-1.55249,-1.28394
-1.13902,-2.35768,-1.2468
-2.03811,-3.20819,-1.22852
-2.62796,-3.62737,-1.08618
-2.91265,-3.82532,-1.05678
-2.97179,-4.00713,-1.13635
-3.3525,-4.44698,-1.19319
-3.83669,-5.09921,-1.37044
-4.048,-5.5294,-1.51608
-4.06416,-5.61729,-1.57063
-3.86943,-5.4866,-1.60762
-3.54499,-5.12099,-1.53212
-3.09216,-4.71227,-1.55949
-2.75175,-4.44085,-1.63907
