Lead1,Lead2,Lead3
4.9008,8.70617,27.117
7.20856,5.48001,24.683
10.5045,2.54413,23.498
16.8872,0.221504,20.6941
23.2846,0.256017,17.9858
26.4618,1.15893,15.8383
24.4546,1.41727,13.9722
21.4313,1.38778,12.206
20.1104,1.64677,10.601
18.6253,1.59409,9.61572
16.6209,1.7113,7.97328
14.6459,1.86137,6.29877
12.5299,1.72137,4.88501
9.24035,2.07009,2.59776
7.30655,2.90355,0.991534
6.80788,3.33401,0.463719
7.86987,5.09055,0.294517
10.407,8.72563,0.0649652
10.8203,11.2571,0.027622
8.85557,12.0411,0.309543
6.55953,11.389,0.90868
4.29517,10.0511,1.46076
2.21262,8.07442,1.97582
0.862617,6.39673,2.69646
0.0387814,5.1173,4.5351
0.344826,4.36668,7.39293
0.737162,5.53904,10.1555
0.455279,8.89957,13.4298
0.38971,12.1847,16.8797
0.894135,11.8286,18.8989
2.04898,9.10615,19.2993
3.82257,6.7748,20.4944
6.95454,4.34401,22.1495
9.80706,3.00848,23.1734
11.3838,2.59402,24.5416
13.7962,1.70954,24.3578
17.0801,0.650866,22.9568
20.9433,0.0502029,22.4351
23.337,0.0337515,21.0367
23.8794,0.194786,18.9943
25.0201,0.539934,16.8524
28.0524,1.48045,15.8675
28.9704,2.44942,14.9764
25.4666,2.18204,13.0023
21.5538,1.47733,12.0039
18.892,1.02493,11.505
15.0947,0.567915,10.3293
10.3759,0.125492,8.75812
6.58268,0.0121371,7.46396
3.03128,0.404013,5.69191
0.851204,1.2913,3.50625
0.0122719,3.28604,3.16286
0.490915,6.13185,2.99653
1.81281,8.1851,2.22371
3.6522,10.0813,1.65445
5.75441,11.9165,1.09735
8.8681,14.084,0.576595
12.0494,16.4925,0.24027
15.9422,18.6335,0.0869969
20.9877,21.468,0.0237605
25.6818,25.219,0.0467366
32.5382,30.9822,0.137597
40.9447,38.0408,0.0342467
49.3381,44.8468,0.0635111
58.7631,53.5763,0.108911
68.0066,60.6248,0.173781
76.4296,63.4358,0.453263
86.0029,66.1099,1.07022
96.2504,70.2449,1.81355
103.52,70.8108,2.73105
108.349,69.0794,4.8757
114.781,70.1314,6.88342
120.129,68.4983,7.45563
126.675,62.081,10.8029
134.277,58.5528,14.7735
134.879,57.7504,15.8556
129.78,52.9286,17.2151
125.241,48.7815,18.3477
124.861,48.5643,18.1139
126.366,49.0752,17.574
128.895,50.5944,17.8352
130.059,49.5072,19.7331
128.519,47.9732,19.5911
127.561,48.3782,18.3736
128.228,49.3724,17.8525
129.962,53.1785,16.2357
136.371,60.4937,14.3362
150.162,76.0464,12.4497
160.591,93.0947,9.94766
157.893,98.2427,7.42316
149.111,100.151,5.27521
142.379,105.948,3.54269
134.756,106.061,2.0064
126.708,102.008,1.10087
118.043,96.5818,0.792832
109.771,90.6941,0.770386
105.088,87.1837,0.928217
101.23,81.8675,1.02493
94.8903,74.9074,1.09142
85.5825,66.2981,1.18039
78.5298,57.8636,1.36972
75.5292,52.0223,1.76132
69.1357,47.2069,1.92722
58.1135,42.8863,1.1214
51.796,41.0686,0.520822
50.2536,44.6614,0.10984
50.5425,52.2572,0.0341451
50.7964,59.2451,0.321577
48.1265,63.1037,1.00752
46.8775,69.378,2.21108
53.5065,87.5105,4.06484
64.2171,112.596,6.4473
66.5049,125.369,9.11075
61.4776,120.745,10.4009
54.7499,114.776,10.5907
49.7181,112.624,12.4402
45.0992,107.13,13.9606
36.5226,96.2594,14.8524
28.9854,88.1558,16.4729
24.9694,82.9385,16.8835
22.6993,78.5161,16.5153
20.4899,76.345,17.9845
17.0861,71.2617,20.0596
13.8239,67.9379,21.1867
10.9527,67.8595,23.6367
9.06282,70.3319,28.0145
8.23442,79.0964,36.0275
7.62364,91.3883,47.3076
7.8768,107.329,57.409
9.60569,124.87,64.8721
10.5489,135.135,69.8761
10.1469,138.854,73.342
9.71049,139.62,77.458
9.24573,141.424,79.1822
10.8098,148.692,78.6525
14.056,155.529,75.9764
14.9295,153.941,72.2876
11.6486,143.835,73.1683
6.80557,129.911,76.8014
4.05494,121.215,82.1474
2.54598,114.937,87.0415
1.19065,109.241,88.8479
0.662489,108.491,94.6915
0.543303,110.161,98.5817
0.423028,112.43,97.8553
0.371152,114.009,100.627
0.332308,115.878,103.008
0.359806,120.28,106.121
0.429563,122.41,108.264
0.529113,124.641,109.553
0.892866,130.661,111.019
1.27178,137.528,113.599
1.44608,147.39,122.251
1.66952,154.049,125.855
1.83403,153.243,121.01
2.03042,150.5,118.56
2.42769,148.863,112.916
2.17938,142.725,105.217
1.91534,139.182,104.996
2.33553,146.277,111.161
2.38952,150.581,113.991
2.16566,146.007,109.737
2.09688,140.917,109.08
1.83825,138.145,111.714
1.24749,133.022,108.623
0.589621,124.015,104.911
0.147458,114.608,101.805
0.0124382,105.395,98.9731
0.00582077,96.1235,96.8066
0.0420132,88.8344,93.0907
0.11059,82.3149,89.191
0.204397,75.9746,84.5799
0.333876,70.3222,81.5425
0.669912,65.6487,82.6988
0.911766,60.6823,79.932
0.959285,55.7221,71.7939
1.05845,51.8705,65.8654
1.40071,47.3408,64.5995
2.22567,40.304,61.735
3.62274,31.2453,55.8235
5.32953,24.5876,52.5904
6.43352,20.9863,50.6428
7.21601,16.77,46.4673
8.56591,11.9971,41.4852
10.2234,7.83737,36.5132
12.4151,5.00963,33.0486
15.4354,3.04405,31.5561
18.7142,1.22949,28.5174
21.2742,0.259705,25.3869
23.8469,0.0129019,22.462
27.0503,0.489334,20.4507
28.1838,0.938891,18.338
26.8154,1.0139,15.6372
24.5419,1.294,14.3877
21.0385,1.38706,12.1296
18.12,1.05977,9.88366
15.5356,0.652196,9.88558
13.3041,0.110224,11.0606
11.5665,0.0031909,12.0054
10.0623,0.0710113,12.2011
9.63394,0.08635,11.551
10.0247,0.0283881,9.03446
11.3225,0.499289,6.91693
10.1453,0.672412,5.11938
5.67838,0.616806,2.29656
3.55666,1.14413,0.570816
3.48944,3.06068,0.00208153
3.78255,6.80438,0.562317
4.719,11.3499,1.57872
7.13513,17.2562,2.1815
9.88505,24.3964,3.2131
12.0796,31.1737,4.44393
13.4973,37.0449,6.18608
11.9658,37.6867,7.63383
10.0132,35.6938,7.48265
9.33088,33.6183,7.06377
8.41027,30.9862,7.02894
5.97027,28.1481,8.01522
2.99505,23.8529,9.06586
1.19377,18.1503,9.23562
0.672218,14.4,9.01273
0.470215,13.094,8.66193
0.201883,10.4143,7.49827
0.0512701,7.53131,6.2333
0.0256769,7.25665,6.63918
0.17596,9.29926,7.09081
0.92929,12.0863,5.94922
2.66463,14.8374,4.63206
5.13358,18.3968,4.07099
7.52081,24.3961,4.91507
8.17404,29.8498,7.27195
6.77444,32.7338,10.4294
5.56359,35.0502,12.9719
4.20763,34.1291,13.9482
2.86061,31.6829,14.7376
2.31678,30.2827,15.9612
2.00493,30.2955,17.1299
1.65672,30.1557,18.072
1.38812,28.5973,17.8535
1.30617,26.8745,16.5738
1.30544,25.692,15.3884
1.33328,25.0626,14.3746
1.05651,22.9113,13.8732
0.552344,19.0762,13.6751
0.0325156,12.3243,11.2242
0.094949,6.9391,8.40908
0.0951454,5.36828,6.75028
0.0294231,4.64948,5.40072
2.4761e-06,4.3428,4.33854
0.0229288,4.38865,3.46807
0.0716828,4.23731,3.11124
0.0152708,3.51179,3.21512
0.0598937,1.88589,2.60534
