Lead1,Lead2,Lead3
9.69866,5.5107,9.74249
9.72614,5.51226,9.77511
9.62955,5.55876,9.8896
9.43566,5.5711,10.0449
9.2632,5.53645,10.2511
9.22828,5.49322,10.4719
9.30478,5.45594,10.684
9.45821,5.42135,10.8793
9.75281,5.4178,11.0747
10.1387,5.44087,11.2936
10.4769,5.45089,11.503
10.7589,5.44326,11.7255
11.0605,5.4106,12.0039
11.3039,5.33761,12.2957
11.4154,5.23734,12.5549
11.3751,5.07864,12.7789
11.1447,4.81859,12.9548
10.8331,4.50716,13.0635
10.5568,4.23356,13.1526
10.3671,4.06928,13.2179
10.2895,4.01096,13.2417
10.3345,4.07368,13.2317
10.4874,4.24617,13.1817
10.7633,4.52638,13.058
11.1291,4.90531,12.8345
11.6042,5.31452,12.5198
12.2459,5.70728,12.1009
13.0363,6.1146,11.5749
14.0251,6.71315,10.9886
15.2406,7.61736,10.3865
16.663,8.80711,9.74808
18.282,10.3456,9.05931
20.1007,12.1461,8.34057
22.1334,14.0474,7.58781
24.3899,16.0599,6.86007
26.864,18.2348,6.19935
29.4445,20.446,5.5836
32.1011,22.6037,5.07857
34.9418,24.7892,4.7001
37.9139,26.9129,4.40645
40.9959,28.8067,4.24818
44.2867,30.5599,4.24184
47.7058,32.2964,4.33101
51.0879,33.9043,4.49386
54.4113,35.3967,4.70769
57.8415,36.8966,4.95096
61.4662,38.4262,5.22646
65.2885,40.0069,5.55056
69.2581,41.5414,5.98935
73.2477,43.0002,6.492
77.2336,44.4094,6.96733
81.2254,45.7606,7.43158
85.2301,47.1667,7.86945
89.3775,48.7421,8.26576
93.8903,50.7461,8.62052
98.6316,53.2152,8.91336
103.189,55.7699,9.13783
107.351,58.3173,9.29996
111.144,60.9573,9.40993
114.553,63.4837,9.47117
117.496,65.7032,9.50127
119.905,67.5326,9.52497
121.793,68.9653,9.54706
123.241,70.0156,9.57267
124.279,70.6794,9.59927
124.856,71.0379,9.61921
124.843,71.0438,9.62265
124.289,70.6569,9.60878
123.415,70.0697,9.57848
122.189,69.3862,9.48634
120.418,68.5348,9.30627
118.283,67.6776,9.08956
115.895,67.1333,8.7554
113.278,66.9365,8.2948
110.65,66.9832,7.80936
108.099,67.3012,7.30288
105.65,67.9448,6.79861
103.42,69.1619,6.35958
101.478,71.1469,6.01187
99.5282,73.4836,5.73923
97.3851,75.7098,5.44759
95.0798,77.7974,5.16633
92.6472,79.8051,4.98091
90.0494,81.61,4.85929
87.1294,82.9563,4.81606
83.7736,83.8207,4.88284
79.8614,84.0361,5.02139
75.5523,83.5805,5.22663
71.2584,82.8962,5.55667
67.1327,81.9934,6.01869
63.1153,80.8056,6.57006
59.2465,79.6118,7.24601
55.57,78.6219,8.08706
52.1385,78.0755,9.18814
48.9464,78.0972,10.6424
45.9086,78.7267,12.4075
43.0453,80.0706,14.4027
40.4096,81.9527,16.5522
38.0523,84.2201,18.8073
35.9017,86.7749,21.185
33.8303,89.5688,23.6044
32.0076,92.7402,26.0021
30.6308,96.2603,28.3413
29.4788,99.7875,30.584
28.2724,102.887,32.8671
26.9056,105.313,35.2661
25.4449,107.25,37.8231
24.0205,108.87,40.5117
22.5928,110.115,43.2191
20.9414,110.771,46.0512
18.9516,110.695,48.9304
16.8866,110.291,51.7036
14.977,110.08,54.5232
13.2764,110.115,57.4112
11.734,110.354,60.3387
10.3381,110.831,63.2857
9.21326,111.718,66.2451
8.33537,113.047,69.1997
7.59482,114.752,72.222
6.93065,116.905,75.5263
6.34252,119.333,78.8972
5.86589,121.895,82.0519
5.49734,124.475,85.0948
5.23094,127.006,87.8848
5.01583,129.269,90.2974
4.81836,131.146,92.4526
4.6531,132.862,94.4481
4.48163,134.213,96.2162
4.24913,134.874,97.6183
3.985,135.054,98.8434
3.72535,135.032,100.043
3.46089,134.826,101.016
3.19038,134.282,101.82
2.85718,133.217,102.544
2.41832,131.65,103.263
1.95196,129.843,104.029
1.58925,128.125,104.651
1.38003,126.637,105.039
1.2597,125.223,105.115
1.19057,123.829,104.943
1.1743,122.467,104.751
1.18209,120.973,104.289
1.19509,119.272,103.452
1.21495,117.379,102.453
1.24712,115.296,101.327
1.30629,112.934,100.037
1.40826,110.152,98.4651
1.56138,107.095,96.7253
1.74589,103.856,94.8844
1.94349,100.297,92.8671
2.17143,96.3739,90.6136
2.44572,92.0128,87.9343
2.78152,87.3554,85.0341
3.20657,82.6617,82.2387
3.72793,77.9969,79.4248
4.31689,73.3531,76.6896
4.994,68.8933,74.1035
5.77946,64.5592,71.4614
6.58722,60.0174,68.5607
7.35053,55.3434,65.4872
8.04979,50.8211,62.5075
8.64172,46.4608,59.4778
9.15052,42.1769,56.2956
9.59702,38.0404,53.2101
9.99435,34.1683,50.2772
10.3512,30.5869,47.471
10.6653,27.2955,44.7594
10.9661,24.2944,42.0951
11.2781,21.5192,39.4684
11.6285,18.9625,36.8973
11.9391,16.6093,34.4142
12.1061,14.431,31.9377
12.1963,12.4152,29.3712
12.2769,10.6145,26.8734
12.3651,9.08585,24.6474
12.4795,7.81958,22.6385
12.6587,6.87944,20.6879
12.8981,6.38232,18.8591
13.1623,6.38009,17.2535
13.4176,6.76938,15.8034
13.5905,7.29126,14.4593
13.6779,7.88263,13.2411
13.7018,8.55829,12.1654
13.6451,9.28169,11.244
13.4437,10.0048,10.4617
13.055,10.655,9.75888
12.5075,11.1838,9.15633
11.8636,11.6257,8.64464
11.1331,12.0345,8.21338
10.2941,12.3446,7.80862
9.41497,12.5507,7.43035
8.57779,12.7457,7.14916
7.81635,12.9959,6.92113
7.18794,13.3303,6.728
6.70496,13.7608,6.56388
6.3799,14.3153,6.38218
6.19917,15.0743,6.19013
6.09315,16.007,6.04221
5.99041,17.0277,5.98685
5.86321,18.1203,6.03125
5.68142,19.1859,6.1848
5.41699,20.1604,6.4292
5.17235,21.0858,6.76801
5.05756,22.0132,7.23155
4.99818,22.9198,7.77846
4.93252,23.7178,8.33632
4.85513,24.345,8.83667
4.74846,24.7932,9.26823
4.56715,25.0372,9.64926
4.29126,24.9908,9.98239
3.93103,24.6127,10.2709
3.51025,23.8402,10.4283
3.13929,22.8794,10.4525
2.82935,21.9317,10.4296
2.53868,21.0264,10.3777
2.27586,20.1938,10.2936
2.09,19.4513,10.1515
1.99865,18.8383,9.96542
1.96182,18.3809,9.77728
1.94269,17.9898,9.57705
1.93744,17.6005,9.36421
1.94175,17.2926,9.19224
1.94232,17.0964,9.06041
1.94366,16.9449,8.90445
1.9787,16.828,8.73144
2.07947,16.772,8.59269
2.21202,16.7195,8.48481
2.31671,16.6019,8.39249
2.35767,16.3413,8.27925
2.45346,16.0264,8.09649
2.70176,15.8161,7.82926
3.03997,15.6762,7.49572
3.42465,15.5957,7.13693
3.80314,15.5464,6.75714
4.12346,15.4195,6.33171
4.3596,15.1667,5.8724
4.54446,14.8406,5.39161
4.69699,14.4835,4.91714
4.7999,14.1198,4.48908
4.8687,13.7403,4.10273
4.90995,13.2729,3.73258
4.90251,12.7414,3.36964
4.88525,12.2288,3.01681
4.89509,11.8676,2.72722
4.92148,11.6534,2.50796
4.96735,11.4858,2.33309
5.03603,11.3429,2.2064
5.11151,11.21,2.12303
5.19673,11.077,2.07079
5.34098,10.9594,2.04365
5.56729,10.8722,2.04946
5.84473,10.8318,2.11529
6.18522,10.8326,2.24421
6.64088,10.8431,2.43143
7.21363,10.8426,2.67869
7.81402,10.8201,2.93061
8.34499,10.7111,3.14898
8.75343,10.4559,3.33508
9.05816,10.106,3.51167
9.26564,9.70142,3.6672
9.35868,9.24767,3.76908
9.27231,8.67674,3.81957
9.01347,7.91422,3.81176
8.69738,7.03761,3.76029
8.40497,6.1785,3.69489
8.15304,5.39119,3.62
7.92088,4.73878,3.54665
7.73202,4.22388,3.47798
7.55996,3.76514,3.41204
7.39769,3.34814,3.35469
7.27149,2.96342,3.30124
7.16455,2.603,3.24558
7.08236,2.32861,3.21511
7.05913,2.18169,3.22702
7.06307,2.14433,3.25085
7.0582,2.1833,3.29184
7.03897,2.24899,3.36535
7.01023,2.29719,3.45181
6.97673,2.33326,3.56928
6.97825,2.3663,3.7473
7.03304,2.38213,3.95846
7.06958,2.37689,4.15945
7.03477,2.36318,4.31777
6.96994,2.35039,4.43052
6.8504,2.33063,4.48442
6.59929,2.30254,4.44221
